# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
1.318000000000000000e+03,6.401504253729956018e-01,6.402120221734021177e-01,6.402474144660315059e-01,6.402991159558070189e-01,6.403719759620236651e-01,6.404526262342737919e-01
1.329000000000000000e+03,6.401545825071656148e-01,6.402294061390524371e-01,6.402685765776323645e-01,6.403273235724767920e-01,6.404070944754135519e-01,6.405015454037726874e-01
1.340000000000000000e+03,6.401588782631373320e-01,6.402489347855242485e-01,6.402913705428576741e-01,6.403581845575014864e-01,6.404452935659256108e-01,6.405542565212661854e-01
1.351000000000000000e+03,6.401631849081060865e-01,6.402706162487383779e-01,6.403156646244934080e-01,6.403917890595179907e-01,6.404868267106013091e-01,6.406110939616835864e-01
1.362000000000000000e+03,6.401673740642844779e-01,6.402944265738276242e-01,6.403414238429884220e-01,6.404282167656941693e-01,6.405320514147623268e-01,6.406722872844727856e-01
1.373000000000000000e+03,6.401717024495212627e-01,6.403205939874008212e-01,6.403691731914085139e-01,6.404679330569230666e-01,6.405819804945792617e-01,6.407385515666820242e-01
1.383000000000000000e+03,6.401760213868711302e-01,6.403466448844647996e-01,6.403968522732114144e-01,6.405073564530764374e-01,6.406325886658519320e-01,6.408039189486448572e-01
1.394000000000000000e+03,6.401802424165654593e-01,6.403770474434097304e-01,6.404297855858046562e-01,6.405534856477888006e-01,6.406927082919973149e-01,6.408802518949604510e-01
1.405000000000000000e+03,6.401846032705331702e-01,6.404097860060833369e-01,6.404670749066841973e-01,6.406034288776908392e-01,6.407579202926856343e-01,6.409625621934879058e-01
1.416000000000000000e+03,6.401889752619237539e-01,6.404385633348923523e-01,6.405156304955469393e-01,6.406601843433638033e-01,6.408323449572611574e-01,6.410516344139879363e-01
1.427000000000000000e+03,6.401932290492037270e-01,6.404653774621914541e-01,6.405705736511154713e-01,6.407201069858043940e-01,6.409144644113552447e-01,6.411439186212818386e-01
1.438000000000000000e+03,6.401976232790707044e-01,6.404971363003630902e-01,6.406272475172613001e-01,6.407837922247189288e-01,6.409998544259454256e-01,6.412437005949463975e-01
1.448000000000000000e+03,6.402020051149646118e-01,6.405341621568803046e-01,6.406806681100399858e-01,6.408485819715368237e-01,6.410812009251279919e-01,6.413469184354065877e-01
1.459000000000000000e+03,6.402062915069719473e-01,6.405835169745620616e-01,6.407407476495277088e-01,6.409248813230419284e-01,6.411732362967935694e-01,6.414665388779630106e-01
1.470000000000000000e+03,6.402107189476775595e-01,6.406359978999673910e-01,6.408031401439295838e-01,6.410064641016463005e-01,6.412697851381600200e-01,6.415942426456145986e-01
1.481000000000000000e+03,6.402151577818409045e-01,6.406913797988291748e-01,6.408681356556082953e-01,6.410931979234235634e-01,6.413718260819103456e-01,6.417302102143047637e-01
1.492000000000000000e+03,6.402194776896174000e-01,6.407496878767099391e-01,6.409362159851258456e-01,6.411849169878387489e-01,6.414809132043793882e-01,6.418744977105641514e-01
1.503000000000000000e+03,6.402239392757739234e-01,6.408113430145371270e-01,6.410088735431536122e-01,6.412821596738943475e-01,6.416002933248627915e-01,6.420281799281128965e-01
1.513000000000000000e+03,6.402283854339996250e-01,6.408707763590746342e-01,6.410807310739381482e-01,6.413760407890282123e-01,6.417194271470708644e-01,6.421771866675184404e-01
1.524000000000000000e+03,6.402327387002163528e-01,6.409387351238748920e-01,6.411661135571393721e-01,6.414835448410395324e-01,6.418573744620044152e-01,6.423484372040845214e-01
1.535000000000000000e+03,6.402372342621285295e-01,6.410104171342388968e-01,6.412579140760842344e-01,6.415971178025797750e-01,6.420048295757915247e-01,6.425296685969348331e-01
1.546000000000000000e+03,6.402417414814357555e-01,6.410858030039429112e-01,6.413556713356096672e-01,6.417168298656592551e-01,6.421621121498974905e-01,6.427204568069283530e-01
1.557000000000000000e+03,6.402461290450851550e-01,6.411648656648472056e-01,6.414592579213638235e-01,6.418428123560105947e-01,6.423275452916070716e-01,6.429206406650563865e-01
1.568000000000000000e+03,6.402506595458028471e-01,6.412482842178288678e-01,6.415693069270753668e-01,6.419763605441142218e-01,6.425027228796789114e-01,6.431349483764898789e-01
1.578000000000000000e+03,6.402551714937659844e-01,6.413286905004369487e-01,6.416756949643773744e-01,6.421058231044383113e-01,6.426715856756274325e-01,6.433453305914682563e-01
1.589000000000000000e+03,6.402595931929416784e-01,6.414207355128470622e-01,6.417977321016654635e-01,6.422552901772861089e-01,6.428647599042267569e-01,6.435887976196120741e-01
1.600000000000000000e+03,6.402641584580247569e-01,6.415168029979446684e-01,6.419290877332912704e-01,6.424177042647278846e-01,6.430678362941774084e-01,6.438485646667642115e-01
1.600000000000000000e+03,6.402641584580247569e-01,6.415168029979446684e-01,6.419290877332912704e-01,6.424177042647278846e-01,6.430678362941774084e-01,6.438485646667642115e-01
1.600000000000000000e+03,6.402641584580247569e-01,6.415168029979446684e-01,6.419290877332912704e-01,6.424177042647278846e-01,6.430678362941774084e-01,6.438485646667642115e-01
1.600000000000000000e+03,6.402641584580247569e-01,6.415168029979446684e-01,6.419290877332912704e-01,6.424177042647278846e-01,6.430678362941774084e-01,6.438485646667642115e-01
